datetime,dwords
2019-11-12T15:32:12+09:00,"['word47', 'word40', 'word65']"
2019-11-12T15:31:56+09:00,"['word47', 'word40', 'word65']"
2019-11-12T15:31:10+09:00,"['word47', 'word4', 'word8', 'word124']"
2019-11-12T15:26:25+09:00,"['word47', 'word4', 'word8', 'word124']"
2019-11-12T15:26:02+09:00,"['word47', 'word4', 'word8', 'word124']"
2019-11-12T15:25:39+09:00,"['word47', 'word4', 'word8']"
2019-11-12T15:25:35+09:00,"['word47', 'word4', 'word125', 'word126']"
2019-11-12T15:25:22+09:00,"['word47', 'word40', 'word8']"
2019-11-12T15:09:14+09:00,"['word47', 'word4', 'word125', 'word126']"
2019-11-12T15:03:58+09:00,"['word47', 'word4', 'word125', 'word126']"
2019-11-12T14:51:49+09:00,"['word47', 'word4', 'word125', 'word126']"
2019-11-12T14:51:21+09:00,"['word47', 'word40', 'word4', 'word57']"
2019-11-12T14:47:20+09:00,"['word47', 'word40', 'word4', 'word57']"
2019-11-12T14:47:10+09:00,"['word47', 'word40', 'word8']"
2019-11-12T14:44:55+09:00,"['word47', 'word40', 'word8']"
2019-11-12T14:44:43+09:00,"['word47', 'word4', 'word8']"
2019-11-12T14:44:22+09:00,"['word47', 'word4', 'word8']"
2019-11-12T14:44:21+09:00,"['word47', 'word4', 'word8']"
2019-11-12T14:44:11+09:00,"['word47', 'word4', 'word43']"
2019-11-12T14:17:27+09:00,"['word47', 'word4', 'word43']"
2019-11-12T14:17:00+09:00,"['word47', 'word8', 'word55']"
2019-11-12T14:11:51+09:00,"['word47', 'word8', 'word55']"
2019-11-12T14:11:32+09:00,"['word47', 'word4', 'word8', 'word127']"
2019-11-12T13:03:19+09:00,"['word47', 'word4', 'word8', 'word127']"
2019-11-12T13:02:57+09:00,"['word47', 'word4', 'word128', 'word72']"
2019-11-12T12:54:12+09:00,"['word47', 'word4', 'word128', 'word72']"
2019-11-12T12:53:11+09:00,"['word47', 'word4', 'word128', 'word72']"
2019-11-12T12:52:11+09:00,"['word47', 'word4', 'word128', 'word72']"
2019-11-12T12:49:45+09:00,"['word47', 'word4', 'word128', 'word72']"
2019-11-12T12:49:37+09:00,"['word47', 'word4', 'word128']"
2019-11-12T12:45:47+09:00,"['word33', 'word129']"
2019-11-12T12:45:11+09:00,"['word33', 'word129']"
2019-11-12T12:45:05+09:00,"['word33', 'word107', 'word108']"
2019-11-12T12:44:38+09:00,"['word33', 'word107', 'word108']"
2019-11-12T12:44:33+09:00,"['word33', 'word4', 'word130']"
2019-11-12T12:44:12+09:00,"['word33', 'word4', 'word130']"
2019-11-12T12:42:16+09:00,"['word33', 'word4', 'word130']"
2019-11-12T12:41:57+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:41:25+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:36:42+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:35:57+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:34:36+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:34:05+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:33:40+09:00,"['word33', 'word4', 'word66']"
2019-11-12T12:25:40+09:00,"['word33', 'word4', 'word66']"
